GeneSymbol,in_Zika_Up,in_Zika_Down,in_Dengue_Up,in_Dengue_Down
11-SEP,True,False,False,False
A1BG,False,False,False,True
AAAS,False,True,False,False
AACS,False,False,True,False
AADAT,False,True,False,False
AAGAB,False,False,True,False
AAK1,True,False,False,True
AARS,True,False,False,False
AARS1,False,False,True,False
AARS2,False,False,True,False
AARSD1,True,False,False,False
AASDHPPT,False,False,True,False
AASS,False,True,False,False
AATK,False,False,False,True
ABCA1,True,False,True,False
ABCA3,True,False,False,True
ABCA5,False,True,False,False
ABCA7,True,False,False,False
ABCB1,False,False,False,True
ABCB4,False,False,False,True
ABCB6,True,False,True,False
ABCB8,False,True,True,False
ABCB9,False,False,True,False
ABCC1,False,True,False,False
ABCC4,False,True,False,False
ABCC5,False,True,False,False
ABCD3,False,False,True,False
ABCE1,True,False,True,False
ABCF1,False,True,True,False
ABCF2,True,False,True,False
ABCF3,True,False,True,False
ABCG1,True,False,False,False
ABHD1,False,False,False,True
ABHD10,True,False,True,False
ABHD14A-ACY1,True,False,False,False
ABHD14B,False,False,False,True
ABHD15,False,False,False,True
ABHD16B,False,True,False,False
ABHD17A,False,False,False,True
ABHD18,False,False,True,False
ABHD2,False,True,False,False
ABHD3,False,True,True,False
ABHD4,True,False,False,False
ABHD5,True,False,False,False
ABHD6,True,False,False,False
ABI1,False,False,True,False
ABI2,False,True,False,True
ABL2,True,False,False,False
ABLIM1,False,False,False,True
ABLIM2,True,False,False,True
ABRACL,False,True,True,False
ABTB2,True,False,True,False
ABTB3,False,False,False,True
AC009133.12,True,False,False,False
ACAA2,False,True,False,False
ACACA,True,False,True,False
ACACB,False,True,False,True
ACAD10,False,True,False,False
ACAD9,False,True,True,False
ACADM,False,False,True,False
ACADSB,False,False,False,True
ACADVL,False,False,True,False
ACAP2,True,False,False,False
ACAT1,False,False,True,False
ACAT2,False,False,True,False
ACBD3,True,False,True,False
ACBD4,False,True,False,False
ACBD5,True,False,False,False
ACBD7,False,True,True,False
ACD,True,False,False,False
ACHE,True,False,False,False
ACN9,False,True,False,False
ACO2,False,False,True,False
ACOT13,False,False,True,False
ACOT7,False,False,True,False
ACOX1,True,False,False,False
ACOX2,False,False,True,False
ACOX3,True,False,False,False
ACOXL,False,False,True,False
ACP1,False,True,False,False
ACP2,False,False,True,False
ACP6,False,True,False,False
ACPL2,False,True,False,False
ACSF2,False,True,False,False
ACSF3,False,False,True,False
ACSL1,True,False,False,False
ACSL3,True,False,True,False
ACSL4,True,False,True,False
ACSL5,True,False,False,False
ACSL6,True,False,False,False
ACSM3,False,False,False,True
ACSS2,True,False,False,False
ACTA2,False,True,False,False
ACTB,False,True,False,False
ACTC1,False,True,False,False
ACTG1,False,True,False,False
ACTL6A,False,True,True,False
ACTL6B,True,False,False,False
ACTR10,False,False,True,False
ACTR1A,False,True,False,False
ACTR1B,False,False,False,True
ACTR3,True,False,True,False
ACTR3B,False,False,False,True
ACTR8,True,False,False,False
ACVR1,True,False,False,False
ACVR1B,True,False,False,False
ACVR1C,False,False,False,True
ACVR2A,False,False,False,True
ACVR2B,False,True,False,False
ACVRL1,False,False,True,False
ACYP1,False,True,False,False
ADA,True,False,True,False
ADAL,False,True,False,False
ADAM11,False,True,False,False
ADAM12,False,True,False,False
ADAM15,False,True,False,False
ADAM17,False,False,True,False
ADAM19,False,True,True,False
ADAM1A,False,True,False,False
ADAM22,False,True,False,True
ADAM23,False,False,False,True
ADAM28,False,True,False,False
ADAMTS1,False,False,False,True
ADAMTS10,False,False,False,True
ADAMTS12,False,True,False,False
ADAMTS14,False,False,True,False
ADAMTS15,False,True,False,False
ADAMTS18,False,True,False,False
ADAMTS2,False,False,True,False
ADAMTS3,False,True,False,False
ADAMTS5,False,False,False,True
ADAMTS6,False,True,False,False
ADAMTS7,False,True,False,False
ADAMTS8,False,True,False,False
ADAMTS9,False,True,False,False
ADAMTSL1,False,True,False,False
ADAMTSL5,False,False,False,True
ADAP1,True,False,False,False
ADAP2,False,True,False,False
ADAR,False,False,True,False
ADARB1,False,False,False,True
ADAT2,False,True,False,False
ADC,False,True,False,False
ADCK2,False,True,False,True
ADCK3,True,False,False,False
ADCY3,False,True,True,False
ADCY6,False,True,False,False
ADCY7,False,True,False,False
ADCY9,True,False,False,True
ADD1,False,False,False,True
ADD2,False,False,False,True
ADD3,False,True,False,False
ADGRA3,False,False,False,True
ADGRB2,False,False,False,True
ADGRD1,False,False,False,True
ADGRE3,False,False,False,True
ADGRF3,False,False,True,False
ADGRG1,False,False,False,True
ADGRG6,False,False,False,True
ADGRL1,False,False,False,True
ADH5,False,True,False,False
ADHFE1,False,True,False,True
ADI1,False,True,False,False
ADIPOR1,True,False,False,False
ADISSP,False,False,False,True
ADK,True,False,False,False
ADM2,True,False,True,False
ADNP2,False,False,False,True
ADO,True,False,False,False
ADORA1,False,True,False,False
ADORA2A,True,False,False,False
ADORA3,False,False,True,False
ADPGK,False,True,False,False
ADPRH,False,False,True,False
ADPRM,True,False,False,False
ADPRS,False,False,True,False
ADRA1A,True,False,False,False
ADRB1,False,False,False,True
ADRB2,True,False,False,False
ADRBK1,True,False,False,False
ADSL,False,False,True,False
ADSS1,False,False,False,True
AEBP1,False,True,False,False
AEBP2,True,False,False,False
AEN,True,False,True,False
AFAP1,False,False,False,True
AFF1,True,False,False,False
AFF2,False,False,False,True
AFF3,True,False,False,True
AFF4,True,False,False,False
